[25, 104]
(79, 19)
(29, 1) | (73, 6)
(55, 0, 1, 1)
(55, 1, 1, 1)
(1, 2, 1, 1)
(2, 2, 1, 1)
(3, 2, 1, 1)
(4, 2, 1, 1)
(6, 2, 1, 1)
(7, 2, 1, 1)
(8, 2, 1, 1)
(9, 2, 1, 1)
(10, 2, 1, 1)
(11, 2, 1, 1)
(12, 2, 1, 1)
(13, 2, 1, 1)
(14, 2, 1, 1)
(15, 2, 1, 1)
(16, 2, 1, 1)
(17, 2, 1, 1)
(18, 2, 1, 1)
(19, 2, 1, 1)
(20, 2, 1, 1)
(21, 2, 1, 1)
(22, 2, 1, 1)
(23, 2, 1, 1)
(24, 2, 1, 1)
(26, 2, 1, 1)
(27, 2, 1, 1)
(28, 2, 1, 1)
(29, 2, 1, 1)
(30, 2, 1, 1)
(31, 2, 1, 1)
(32, 2, 1, 1)
(33, 2, 1, 1)
(34, 2, 1, 1)
(35, 2, 1, 1)
(36, 2, 1, 1)
(37, 2, 1, 1)
(38, 2, 1, 1)
(39, 2, 1, 1)
(40, 2, 1, 1)
(41, 2, 1, 1)
(42, 2, 1, 1)
(43, 2, 1, 1)
(44, 2, 1, 1)
(45, 2, 1, 1)
(46, 2, 1, 1)
(47, 2, 1, 1)
(48, 2, 1, 1)
(49, 2, 1, 1)
(50, 2, 1, 1)
(51, 2, 1, 1)
(52, 2, 1, 1)
(53, 2, 1, 1)
(55, 2, 1, 1)
(57, 2, 1, 1)
(58, 2, 1, 1)
(59, 2, 1, 1)
(60, 2, 1, 1)
(61, 2, 1, 1)
(62, 2, 1, 1)
(63, 2, 1, 1)
(64, 2, 1, 1)
(65, 2, 1, 1)
(66, 2, 1, 1)
(67, 2, 1, 1)
(68, 2, 1, 1)
(69, 2, 1, 1)
(70, 2, 1, 1)
(71, 2, 1, 1)
(72, 2, 1, 1)
(73, 2, 1, 1)
(74, 2, 1, 1)
(75, 2, 1, 1)
(76, 2, 1, 1)
(77, 2, 1, 1)
(78, 2, 1, 1)
(79, 2, 1, 1)
(81, 2, 1, 1)
(82, 2, 1, 1)
(83, 2, 1, 1)
(84, 2, 1, 1)
(85, 2, 1, 1)
(86, 2, 1, 1)
(87, 2, 1, 1)
(88, 2, 1, 1)
(89, 2, 1, 1)
(90, 2, 1, 1)
(91, 2, 1, 1)
(92, 2, 1, 1)
(93, 2, 1, 1)
(94, 2, 1, 1)
(95, 2, 1, 1)
(96, 2, 1, 1)
(97, 2, 1, 1)
(98, 2, 1, 1)
(99, 2, 1, 1)
(100, 2, 1, 1)
(101, 2, 1, 1)
(102, 2, 1, 1)
(18, 3, 1, 1)
(55, 3, 1, 1)
(65, 3, 1, 1)
(0, 5, 1, 1)
(1, 5, 1, 1)
(2, 5, 1, 1)
(3, 5, 1, 1)
(4, 5, 1, 1)
(5, 5, 1, 1)
(6, 5, 1, 1)
(7, 5, 1, 1)
(8, 5, 1, 1)
(9, 5, 1, 1)
(10, 5, 1, 1)
(11, 5, 1, 1)
(12, 5, 1, 1)
(13, 5, 1, 1)
(14, 5, 1, 1)
(15, 5, 1, 1)
(16, 5, 1, 1)
(17, 5, 1, 1)
(18, 5, 1, 1)
(19, 5, 1, 1)
(20, 5, 1, 1)
(21, 5, 1, 1)
(22, 5, 1, 1)
(23, 5, 1, 1)
(24, 5, 1, 1)
(25, 5, 1, 1)
(26, 5, 1, 1)
(27, 5, 1, 1)
(28, 5, 1, 1)
(29, 5, 1, 1)
(30, 5, 1, 1)
(31, 5, 1, 1)
(32, 5, 1, 1)
(33, 5, 1, 1)
(34, 5, 1, 1)
(35, 5, 1, 1)
(36, 5, 1, 1)
(37, 5, 1, 1)
(38, 5, 1, 1)
(39, 5, 1, 1)
(40, 5, 1, 1)
(41, 5, 1, 1)
(42, 5, 1, 1)
(43, 5, 1, 1)
(45, 5, 1, 1)
(46, 5, 1, 1)
(47, 5, 1, 1)
(48, 5, 1, 1)
(49, 5, 1, 1)
(50, 5, 1, 1)
(51, 5, 1, 1)
(52, 5, 1, 1)
(53, 5, 1, 1)
(54, 5, 1, 1)
(55, 5, 1, 1)
(56, 5, 1, 1)
(57, 5, 1, 1)
(58, 5, 1, 1)
(59, 5, 1, 1)
(60, 5, 1, 1)
(61, 5, 1, 1)
(62, 5, 1, 1)
(63, 5, 1, 1)
(64, 5, 1, 1)
(65, 5, 1, 1)
(66, 5, 1, 1)
(67, 5, 1, 1)
(68, 5, 1, 1)
(69, 5, 1, 1)
(70, 5, 1, 1)
(71, 5, 1, 1)
(72, 5, 1, 1)
(73, 5, 1, 1)
(74, 5, 1, 1)
(75, 5, 1, 1)
(76, 5, 1, 1)
(77, 5, 1, 1)
(78, 5, 1, 1)
(79, 5, 1, 1)
(80, 5, 1, 1)
(81, 5, 1, 1)
(82, 5, 1, 1)
(83, 5, 1, 1)
(84, 5, 1, 1)
(85, 5, 1, 1)
(86, 5, 1, 1)
(87, 5, 1, 1)
(88, 5, 1, 1)
(89, 5, 1, 1)
(90, 5, 1, 1)
(91, 5, 1, 1)
(92, 5, 1, 1)
(93, 5, 1, 1)
(94, 5, 1, 1)
(95, 5, 1, 1)
(96, 5, 1, 1)
(97, 5, 1, 1)
(98, 5, 1, 1)
(99, 5, 1, 1)
(100, 5, 1, 1)
(101, 5, 1, 1)
(102, 5, 1, 1)
(103, 5, 1, 1)
(30, 6, 1, 1)
(55, 6, 1, 1)
(61, 6, 1, 1)
(30, 7, 1, 1)
(40, 7, 1, 1)
(55, 7, 1, 1)
(61, 7, 1, 1)
(75, 7, 1, 1)
(3, 8, 1, 1)
(30, 8, 1, 1)
(40, 8, 1, 1)
(55, 8, 1, 1)
(57, 8, 1, 1)
(58, 8, 1, 1)
(61, 8, 1, 1)
(75, 8, 1, 1)
(3, 9, 1, 1)
(30, 9, 1, 1)
(40, 9, 1, 1)
(55, 9, 1, 1)
(58, 9, 1, 1)
(61, 9, 1, 1)
(64, 9, 1, 1)
(65, 9, 1, 1)
(66, 9, 1, 1)
(67, 9, 1, 1)
(68, 9, 1, 1)
(69, 9, 1, 1)
(70, 9, 1, 1)
(71, 9, 1, 1)
(72, 9, 1, 1)
(75, 9, 1, 1)
(76, 9, 1, 1)
(77, 9, 1, 1)
(78, 9, 1, 1)
(79, 9, 1, 1)
(80, 9, 1, 1)
(81, 9, 1, 1)
(82, 9, 1, 1)
(83, 9, 1, 1)
(84, 9, 1, 1)
(85, 9, 1, 1)
(86, 9, 1, 1)
(87, 9, 1, 1)
(88, 9, 1, 1)
(89, 9, 1, 1)
(91, 9, 1, 1)
(92, 9, 1, 1)
(93, 9, 1, 1)
(94, 9, 1, 1)
(95, 9, 1, 1)
(96, 9, 1, 1)
